year,vacancy,footfalldensity,footfall,floor
2012,2.736602052,2.40274027,333727,138894.33
2013,2.476190476,1.378772887,279149.8333,202462.52
2014,2.750491159,0.722843125,283445.5833,392126
2015,4.427577483,0.642660099,279732.75,435273.25
2016,6.703229738,0.635381058,285626.8056,449536.23
2017,4.567022539,0.588838844,276195.4722,469051.04
2018,4.685646501,0.562860834,264979.25,470772.23
2019,4.886769964,0.550745802,258080.6667,468602.15
2020,5.495818399,0.373380261,173406.4444,464423.17
2021,6.026252983,0.447535566,204567.1111,457096.88
2022,5.773809524,0.55072125,252349.8611,458217.04
2023,5.952380952,1.091365188,250761.8333,229768.95
