year,vacancy,footfalldensity,footfall,floor
2014,4.656577416,8.446716074,754593.8,89335.76
2015,5.051546392,7.578348435,753062.8333,99370.31
2016,5.760151086,7.119342946,763915.75,107301.44
2017,5.459057072,6.622566692,779368.4167,117683.74
2018,4.515050167,6.448288214,777047.1667,120504.41
2019,5.016722408,6.015653414,734315.8333,122067.51
2020,6.516290727,3.570441457,434562.5,121711.14
2021,8.410428932,4.878962687,583793.5,119655.25
2022,9.655172414,3.725109165,443982.5,119186.44
2023,10.34482759,7.058563312,418054,59226.5
