year,vacancy,footfalldensity,footfall,floor
2014,11.43667297,0.966568795,482966,499670.59
2015,11.27331711,0.991488995,524110.8194,528609.82
2016,10.97733711,1.168731554,639096.1667,546828.88
2017,7.750677507,1.32528369,637232.4722,480827.22
2018,5.418250951,1.360290938,622541.5278,457653.22
2019,4.499540863,1.274023231,583373.25,457898.44
2020,3.308337009,0.880094452,392977.5833,446517.51
2021,3.482803657,0.9228691,394485.5833,427455.62
2022,4.531319414,1.151642059,484468.8889,420676.62
2023,4.882459313,2.246984691,471293.4444,209744.84
