year,vacancy,footfalldensity,footfall,floor
2013,5.482233503,2.153132517,925051.4,429630.5
2014,7.000486145,1.889257663,843981.9167,446726.74
2015,7.567804024,1.402672778,729424.7431,520024.88
2016,9.166666667,1.23703488,681908.5625,551244.41
2017,10.28615623,1.180618811,668115.125,565902.49
2018,7.077971234,1.130976483,631916.4167,558735.24
2019,6.726943942,1.055484705,626009.625,593101.56
2020,8.463172805,0.709857648,419519.7083,590991.32
2021,7.344239471,0.811551471,468453,577231.41
2022,7.237965176,1.037389397,604125.4688,582351.69
