RC_ID,year,vacancy,ratesmean,ratsmdn,jobdensity
RC_EW_1920,2010,0,9284.088333,3892.1,0.045177572
RC_EW_1920,2011,0,9284.088333,3892.1,0.033539005
RC_EW_1920,2012,0,9284.088333,3892.1,0.025418555
RC_EW_1920,2013,0,9284.088333,3892.1,0.027717073
RC_EW_1920,2014,0,9284.088333,3892.1,
RC_EW_1920,2015,20,7745.666667,2754.9,
RC_EW_1920,2016,19.51219512,7203.587805,3093.8,
RC_EW_1920,2017,6.382978723,7706.777872,4950,
RC_EW_1920,2018,2.272727273,8106.268182,4950,
RC_EW_1920,2019,11.62790698,7010.925116,3305.87,
RC_EW_1920,2020,10,6571.969,3199.835,
RC_EW_1920,2021,0,7073.494444,3305.87,
RC_EW_1920,2022,0,7073.494444,3305.87,
RC_EW_1920,2023,0,7073.494444,3305.87,
RC_EW_2548,2010,0,2869.948182,2457.6,0.020938369
RC_EW_2548,2011,0,3191.641042,2457.6,0.015639015
RC_EW_2548,2012,0,3915.895231,2457.6,0.01528052
RC_EW_2548,2013,0,4408.952778,2800.65,0.014983285
RC_EW_2548,2014,0,4527.004667,3143.7,
RC_EW_2548,2015,0,4347.743537,2800.65,
RC_EW_2548,2016,0.840336134,4840.83042,3373.16,
RC_EW_2548,2017,3.184713376,5537.357771,3542.9,
RC_EW_2548,2018,4.605263158,5605.222303,3542.9,
RC_EW_2548,2019,4.635761589,5142.485033,3393.2,
RC_EW_2548,2020,2.75862069,5041.734069,3373.16,
RC_EW_2548,2021,1.342281879,4923.644765,3343.3,
RC_EW_2548,2022,2.040816327,4913.112381,3343.3,
RC_EW_2548,2023,2.777777778,4939.270833,3243.5,
RC_EW_2549,2010,6.593406593,39021.54582,9728,0.01169461
RC_EW_2549,2011,6.4,38067.46528,9728,0.009245232
RC_EW_2549,2012,5.970149254,37610.59299,9728,0.008870019
RC_EW_2549,2013,6,34852.3392,9231.5,0.008846501
RC_EW_2549,2014,8.928571429,32525.42964,8800,
RC_EW_2549,2015,11.51832461,32707.39236,8483,
RC_EW_2549,2016,7.984790875,32306.0038,8200,
RC_EW_2549,2017,9.146341463,35681.09366,8216.75,
RC_EW_2549,2018,6.08974359,40038.49023,9231.5,
RC_EW_2549,2019,6.666666667,39655.42849,9514,
RC_EW_2549,2020,4.109589041,39065.82987,9231.5,
RC_EW_2549,2021,5.084745763,38753.29143,9231.5,
RC_EW_2549,2022,4,36243.31227,9728,
RC_EW_2549,2023,4,36243.31227,9728,
RC_EW_2551,2010,12.5,20846.49375,8927.125,0.048093555
RC_EW_2551,2011,11.42857143,19329.11143,7500,0.031868396
RC_EW_2551,2012,11.11111111,18879.51667,7500,0.033774891
RC_EW_2551,2013,11.11111111,18879.51667,7500,0.034630892
RC_EW_2551,2014,15.78947368,18147.43684,7500,
RC_EW_2551,2015,19.04761905,17517.14524,7500,
RC_EW_2551,2016,14.58333333,16580.69688,7500,
RC_EW_2551,2017,7.692307692,15896.65,7500,
RC_EW_2551,2018,4,16232.516,7500,
RC_EW_2551,2019,6.382978723,16796.29362,8358.25,
RC_EW_2551,2020,0,17450.58636,8358.25,
RC_EW_2551,2021,0,17450.58636,8358.25,
RC_EW_2551,2022,0,17450.58636,8358.25,
RC_EW_2551,2023,0,17450.58636,8358.25,
RC_EW_2552,2010,1.176470588,33551.28141,9824.06,0.062091258
RC_EW_2552,2011,2.352941176,31854.56675,8483,0.04405934
RC_EW_2552,2012,2.867383513,29879.56588,8483,0.045832229
RC_EW_2552,2013,2.72479564,31995.19858,9855.25,0.034190497
RC_EW_2552,2014,3.03514377,36261.27153,15744,
RC_EW_2552,2015,6.14973262,38891.86155,13098.75,
RC_EW_2552,2016,7.208872458,33643.83388,10750,
RC_EW_2552,2017,4.276827372,33034.73113,10000,
