RC_ID,year,vacancy,ratesmean,ratsmdn,jobdensity
RC_EW_5292,2010,0,15550,14500,0.030019384
RC_EW_5292,2011,0,15354.47761,14500,0.02213745
RC_EW_5292,2012,0,16908.92857,14500,0.032135967
RC_EW_5292,2013,0,18480,14750,0.02282403
RC_EW_5292,2014,0,18457.21649,15000,
RC_EW_5292,2015,0,18301.37615,15000,
RC_EW_5292,2016,0,18003.51563,15000,
RC_EW_5292,2017,4.494382022,17423.31461,15000,
RC_EW_5292,2018,1.477832512,17211.33005,15000,
RC_EW_5292,2019,0,17210,15125,
RC_EW_5292,2020,0,17210,15125,
RC_EW_5292,2021,0,17210,15125,
RC_EW_5292,2022,0,17161.25,15125,
RC_EW_5292,2023,0,17145,15125,
RC_EW_5295,2010,7.407407407,23622.22222,18250,0.018135187
RC_EW_5295,2011,5.93220339,22836.44068,18250,0.012360756
RC_EW_5295,2012,3.076923077,22349.23077,18250,0.011333487
RC_EW_5295,2013,2.580645161,22149.03226,18000,0.013819583
RC_EW_5295,2014,2.43902439,21832.92683,17750,
RC_EW_5295,2015,4.419889503,21391.43646,17750,
RC_EW_5295,2016,4.975124378,21900.99502,17750,
RC_EW_5295,2017,3.6,20988.4,17750,
RC_EW_5295,2018,1.851851852,18350.46296,16500,
RC_EW_5295,2019,1.204819277,18024.6988,16500,
RC_EW_5295,2020,1.179941003,17707.66962,16250,
RC_EW_5295,2021,1.123595506,16989.88764,16000,
RC_EW_5295,2022,1.114206128,16985.79387,16000,
RC_EW_5295,2023,1.111111111,16984.44444,16000,
RC_EW_5302,2010,0,11738.63636,10875,0.043482554
RC_EW_5302,2011,0,11493.38235,10750,0.03063878
RC_EW_5302,2012,0,11518.42105,11000,0.030374882
RC_EW_5302,2013,0,11479.74684,11000,0.029380632
RC_EW_5302,2014,0,11195.83333,10750,
RC_EW_5302,2015,0,10925.82418,10750,
RC_EW_5302,2016,0,10928.94737,10750,
RC_EW_5302,2017,0,10721.13636,10750,
RC_EW_5302,2018,0,10631.03448,10750,
RC_EW_5302,2019,0,10631.03448,10750,
RC_EW_5302,2020,0,10631.03448,10750,
RC_EW_5302,2021,0,10631.03448,10750,
RC_EW_5302,2022,0,10631.03448,10750,
RC_EW_5302,2023,0,10631.03448,10750,
RC_EW_5305,2010,11.68831169,15188.31169,13250,0.096583763
RC_EW_5305,2011,13.67521368,14768.80342,13250,0.076226058
RC_EW_5305,2012,15.15151515,14769.69697,13250,0.064784492
RC_EW_5305,2013,14.92537313,14769.40299,13250,0.063276135
RC_EW_5305,2014,14.08450704,14796.47887,13250,
RC_EW_5305,2015,12.34567901,15571.60494,13250,
RC_EW_5305,2016,10.86956522,15300.27174,13000,
RC_EW_5305,2017,7.623318386,15617.26457,13000,
RC_EW_5305,2018,4.979253112,16633.29876,13000,
RC_EW_5305,2019,2.966101695,16603.60169,13000,
RC_EW_5305,2020,1.694915254,16613.98305,13000,
RC_EW_5305,2021,1.694915254,16613.98305,13000,
RC_EW_5305,2022,2.966101695,16613.98305,13000,
RC_EW_5305,2023,3.389830508,16613.98305,13000,
RC_EW_5313,2010,0,12130,11500,0.044291526
RC_EW_5313,2011,0,12282.05128,11500,0.03285861
RC_EW_5313,2012,0,12275,11625,0.033682224
RC_EW_5313,2013,0,12275,11625,0.033181591
RC_EW_5313,2014,0,11565.90909,11500,
RC_EW_5313,2015,0,13337.03704,11750,
RC_EW_5313,2016,0,13143.84615,12000,
RC_EW_5313,2017,0,13182.05128,12000,
RC_EW_5313,2018,0,13156.81818,11875,
RC_EW_5313,2019,0,13156.81818,11875,
RC_EW_5313,2020,0,13206.97674,12000,
RC_EW_5313,2021,0,13259.52381,12000,
RC_EW_5313,2022,0,13181.6092,12000,
RC_EW_5313,2023,0,13156.81818,11875,
RC_EW_5315,2010,4.347826087,25640.52795,24750,0.037650118
RC_EW_5315,2011,6.578947368,25610.96491,24500,0.0304763
RC_EW_5315,2012,6.639004149,25701.86722,24750,0.028655295
RC_EW_5315,2013,6.153846154,25795.76923,25000,0.031049323
RC_EW_5315,2014,5.818181818,25522.18182,24750,
RC_EW_5315,2015,6.506849315,25424.14384,24750,
RC_EW_5315,2016,4.923076923,25698.92308,25000,
RC_EW_5315,2017,2.771362587,27583.25635,24750,
RC_EW_5315,2018,2.594810379,28916.05788,25000,
RC_EW_5315,2019,2.140077821,28200.15564,24250,
