FID,RC_ID,year,vacancy,ratesmean,ratsmdn,jobdensity
0,RC_EW_2067,2010,5.345211581,28854.93314,9543.37,0.028880676
1,RC_EW_2067,2011,5.007824726,27114.81097,8483,0.021913871
2,RC_EW_2067,2012,4.353741497,25415.24826,8358.25,0.021826999
3,RC_EW_2067,2013,4.57354759,25209.38129,8171.12,0.019095519
4,RC_EW_2067,2014,6.13154961,24439.02045,8171.12,
5,RC_EW_2067,2015,6.972301815,23587.88438,7984,
6,RC_EW_2067,2016,8.138597905,22828.23458,7859.25,
7,RC_EW_2067,2017,7.534659433,20267.59737,7609.75,
8,RC_EW_2067,2018,6.271951831,19756.91366,7796.87,
9,RC_EW_2067,2019,6.728425158,20947.57738,7485,
10,RC_EW_2067,2020,8.372753075,20227.03449,6736.5,
11,RC_EW_2067,2021,7.454017425,18671.2022,6549.37,
12,RC_EW_2067,2022,7.50617284,18301.60422,6549.37,
13,RC_EW_2067,2023,7.53968254,18355.69677,6549.37,
14,RC_EW_2069,2010,0,18479.19,18479.19,0.028527541
15,RC_EW_2069,2011,0,17253.402,12350.25,0.018635553
16,RC_EW_2069,2012,0,18050.20222,12350.25,0.01778821
17,RC_EW_2069,2013,0,22469.582,12350.25,0.015662155
18,RC_EW_2069,2014,0,22469.582,12350.25,
19,RC_EW_2069,2015,0,22469.582,12350.25,
20,RC_EW_2069,2016,0,20826.09273,12350.25,
21,RC_EW_2069,2017,7.142857143,16810.88262,8607.75,
22,RC_EW_2069,2018,4.6875,15121.76313,6499.475,
23,RC_EW_2069,2019,13.1147541,14670.23311,4391.2,
24,RC_EW_2069,2020,7.142857143,14088.01143,4409.91,
25,RC_EW_2069,2021,1.960784314,11527.7502,4391.2,
26,RC_EW_2069,2022,8.695652174,12130.82348,4391.2,
27,RC_EW_2069,2023,9.090909091,12480.92364,4391.2,
28,RC_EW_2073,2010,0,11654.559,4241.5,0.026570753
29,RC_EW_2073,2011,0,11654.559,4241.5,0.022205767
30,RC_EW_2073,2012,0,11654.559,4241.5,0.027055002
31,RC_EW_2073,2013,0,11283.73476,4116.75,0.030522571
32,RC_EW_2073,2014,0,10268.30917,3992,
33,RC_EW_2073,2015,0,10738.48226,4116.75,
34,RC_EW_2073,2016,0,10698.00491,4116.75,
35,RC_EW_2073,2017,1.492537313,9700.892687,3867.25,
36,RC_EW_2073,2018,9.782608696,8748.443043,4116.75,
37,RC_EW_2073,2019,11.88118812,8198.930198,3867.25,
38,RC_EW_2073,2020,10.57692308,7972.803365,3867.25,
39,RC_EW_2073,2021,8.823529412,7813.959804,3867.25,
40,RC_EW_2073,2022,12.37113402,8187.933299,4116.75,
41,RC_EW_2073,2023,12.5,8232.940417,4116.75,
42,RC_EW_2074,2010,0,9245.497143,8838,0.026570753
43,RC_EW_2074,2011,0,8288.63,8598.125,0.022205767
44,RC_EW_2074,2012,0,7554.795556,8358.25,0.027055002
45,RC_EW_2074,2013,0,6807.879231,5984.24,0.030522571
46,RC_EW_2074,2014,0,6319.581333,6112.75,
47,RC_EW_2074,2015,0,7026.596667,6736.5,
48,RC_EW_2074,2016,0,7394.684211,6736.5,
49,RC_EW_2074,2017,0,7412.52547,5231.98,
50,RC_EW_2074,2018,4.635761589,7722.62106,5231.98,
51,RC_EW_2074,2019,1.694915254,7813.932797,4611.99,
52,RC_EW_2074,2020,0,6253.647117,3929.62,
53,RC_EW_2074,2021,0,6659.029825,3992,
